term_type	term_value	type_necessity	value_list	type_data	description	language
author-continent	America	obligatory	closed_list	string		eng
author-continent	Europe	obligatory	closed_list	string		eng
author-country	Argentina	obligatory	closed_list	string		eng
author-country	Cuba	obligatory	closed_list	string		eng
author-country	France	obligatory	closed_list	string		eng
author-country	Mexico	obligatory	closed_list	string		eng
author-country	Spain	obligatory	closed_list	string		eng
author-country	Nicaragua	obligatory	closed_list	string		eng
author-gender	female	obligatory	closed_list	string		eng
author-gender	male	obligatory	closed_list	string		eng
author-gender	mixed	obligatory	closed_list	string		eng
author-gender	other/mixed	obligatory	closed_list	string		eng
form	other/mixed	obligatory	closed_list	string	at least 10% of the other form	eng
form	prose	obligatory	closed_list	string		eng
form	verse	obligatory	closed_list	string		eng
form	dialogue	obligatory	closed_list	string		eng
genre	collection_short_stories	obligatory	closed_list	string		eng
genre	comedy	obligatory	closed_list	string		eng
genre	film-script	obligatory	closed_list	string		eng
genre	novel	obligatory	closed_list	string		eng
genre	short_novel	obligatory	closed_list	string		eng
genre	short_story	obligatory	closed_list	string		eng
genre	tragedy	obligatory	closed_list	string		eng
genre	tragicomedy	obligatory	closed_list	string		eng
genre	essay	obligatory	closed_list	string		eng
genre	collection_short_novels	obligatory	closed_list	string		eng
genre	other/mixed	obligatory	closed_list	string		eng
genre-label		optional	open_list	string	Label given to the text on the title page	open
narrative-perspective	autodiegetic	optional	closed_list	string	narrator is also the protagonist of the narrative	eng
narrative-perspective	epistolary	optional	closed_list	string		eng
narrative-perspective	heterodiegetic	optional	closed_list	string	narrator is not a character in the story	eng
narrative-perspective	homodiegetic	optional	closed_list	string	narrator who is also a character in the story	eng
narrative-perspective	dialogue	optional	closed_list	string		eng
narrative-perspective	other/mixed	optional	closed_list	string		eng
narrator	first-person	optional	closed_list	string		eng
narrator	second-person	optional	closed_list	string		eng
narrator	third-person	optional	closed_list	string		eng
narrator	other/mixed	optional	closed_list	string		eng
protagonist-gender	female	optional	closed_list	string		eng
protagonist-gender	male	optional	closed_list	string		eng
protagonist-gender	mixed	optional	closed_list	string		eng
